City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Hammerfest,70.6634,23.6821,36.05,75,0,13.8,NO,1672119320
140,Tsaratanana,-16.7833,47.65,78.55,71,97,4.72,MG,1672119321
141,Am Timan,11.0297,20.2827,65.44,25,2,8.97,TD,1672119322
142,Muswellbrook,-32.2667,150.9,90.32,22,0,14.38,AU,1672119322
143,Altamira,-3.2033,-52.2064,71.53,98,100,2.1,BR,1672119242
144,Quesnel,52.9999,-122.5029,23.5,93,75,0.0,CA,1672119323
145,Seoul,37.5683,126.9778,37.0,42,20,4.61,KR,1672119324
146,Along,28.1667,94.7667,54.34,95,100,1.07,IN,1672119325
147,George Town,5.4112,100.3354,87.75,65,20,14.97,MY,1672119080
148,Constitución,-35.3333,-72.4167,55.15,90,2,5.64,CL,1672119056
149,Avarua,-21.2078,-159.775,80.65,69,40,8.05,CK,1672119327
150,Laas,46.6166,10.7002,43.68,93,61,6.49,IT,1672119328
151,Maragogi,-9.0122,-35.2225,76.41,82,28,5.48,BR,1672119328
152,Hithadhoo,-0.6,73.0833,81.21,76,49,15.41,MV,1672119329
153,Ranot,7.7777,100.3213,80.35,63,99,11.48,TH,1672119329
154,Palmer,42.1584,-72.3287,27.25,61,100,4.61,US,1672119330
155,Nago,26.5881,127.9761,64.83,63,70,8.99,JP,1672119330
156,Callaway,30.153,-85.5699,42.91,52,0,6.91,US,1672119331
157,Port Elizabeth,-33.918,25.5701,70.32,79,0,9.22,ZA,1672119331
158,Portland,45.5234,-122.6762,57.56,94,100,18.41,US,1672119332
159,Lékoni,-1.5843,14.2591,75.06,72,82,1.39,GA,1672119333
160,Chui,-33.6971,-53.4616,55.78,81,0,2.35,UY,1672119333
161,‘Āhuimanu,21.4447,-157.8378,75.85,81,20,8.05,US,1672119334
162,Craig,40.5153,-107.5464,28.02,86,20,5.75,US,1672119260
163,Tigil',57.8,158.6667,-7.78,100,63,4.09,RU,1672119334
164,Carepa,7.7585,-76.6525,71.96,99,50,0.92,CO,1672119335
165,La Macarena,2.1837,-73.7849,69.08,67,81,2.68,CO,1672119336
166,Geraldton,-28.7667,114.6,81.01,47,1,24.16,AU,1672119311
167,Trelew,-43.249,-65.3051,60.51,64,100,15.7,AR,1672119289
168,Grindavik,63.8424,-22.4338,30.67,93,100,8.05,IS,1672119337
169,Tasiilaq,65.6145,-37.6368,8.76,56,18,5.64,GL,1672119338
170,Buala,-8.145,159.5921,82.0,80,100,6.29,SB,1672119338
171,Crestview,30.7621,-86.5705,41.29,81,0,1.99,US,1672119339
172,Oistins,13.0667,-59.5333,78.89,78,75,19.57,BB,1672119339
173,Ol'ga,43.7444,135.2892,27.25,76,6,2.95,RU,1672119340
174,Timmins,48.4669,-81.3331,3.02,85,100,3.44,CA,1672119302
175,Hofn,64.2539,-15.2082,22.93,66,100,9.64,IS,1672119340
176,Puerto Escondido,15.85,-97.0667,75.09,67,24,5.84,MX,1672119341
177,Tuymazy,54.6067,53.7097,17.17,96,100,6.06,RU,1672119341
178,Bethel,41.3712,-73.414,27.93,58,100,1.99,US,1672119342
179,Chokwé,-24.5333,32.9833,77.74,73,92,2.19,MZ,1672119342
